Test_Case,Producer_Rate,Security,Message_Size,Execution,OMB_Latency_50,OMB_Latency_75,OMB_Latency_95,OMB_Latency_99,OMB_Messages,OMB_Bytes,OMB_Duration,OMB_Throughout
TC10,10000,Non-Secure,1024,5,3.247,3.934,4.943,7.504,3005813,3077.952512,308,9.99335231168831
TC10,10000,Secure,1024,5,6.046,7.283,9.595,12.114,3064203,3137.743872,547,5.736277645338208
TC10,10000,Non-Secure,1024,6,3.256,3.951,5.049,8.291,3006464,3078.619136,307,10.028075361563518
TC10,10000,Secure,1024,6,5.559,6.705,8.836,10.96,3049006,3122.182144,518,6.027378656370656
TC10,10000,Non-Secure,1024,7,3.289,3.988,5.198,7.688,3006384,3078.5372159999997,307,10.027808521172638
TC10,10000,Secure,1024,7,6.268,7.529,9.799,12.067,3079941,3153.859584,520,6.065114584615384
TC10,10000,Non-Secure,1024,8,3.364,4.08,5.687,8.691,3006652,3078.811648,307,10.028702436482085
TC10,10000,Secure,1024,8,5.876,7.109,9.454,12.399,3067540,3141.1609599999997,519,6.052333256262042
TC10,10000,Non-Secure,1024,9,3.308,4.02,6.07,10.383,3006798,3078.961152,307,10.02918942019544
TC10,10000,Secure,1024,9,6.252,7.52,9.779,11.968,3045721,3118.818304,518,6.0208847567567565
TC10,10000,Non-Secure,1024,10,3.259,3.948,4.861,6.98,3006408,3078.561792,308,9.995330493506493
TC10,10000,Secure,1024,10,5.999,7.255,9.602,12.278,3073166,3146.921984,537,5.86018991433892
TC11,10000,Non-Secure,10240,1,8.171,9.923,24.368,80.584,3006704,30788.64896,307,100.28875882736156
TC11,10000,Secure,10240,1,12.977,15.739,27.978,88.679,3056170,31295.1808,517,60.53226460348162
TC11,10000,Non-Secure,10240,2,8.201,10.054,26.386,74.684,3006447,30786.01728,307,100.28018657980456
TC11,10000,Secure,10240,2,12.621,15.308,26.745,71.202,3069829,31434.97728,520,60.45187938461538
TC11,10000,Non-Secure,10240,3,8.367,10.127,25.157,65.526,3006160,30783.0784,307,100.27061368078175
TC11,10000,Secure,10240,3,13.125,15.984,28.066,72.863,3070184,31438.684159999997,521,60.34296383877159
TC11,10000,Non-Secure,10240,4,8.285,10.029,22.302,67.936,3006322,30784.737279999998,308,99.9504457142857
TC11,10000,Secure,10240,4,12.665,15.338,25.757,69.563,3068165,31418.009599999998,521,60.30328138195777
TC11,10000,Non-Secure,10240,5,8.71,10.546,24.862,72.976,3006467,30786.22208,307,100.28085368078176
TC11,10000,Secure,10240,5,13.313,16.162,27.195,68.396,3055879,31292.20096,521,60.06180606525911
TC11,10000,Non-Secure,10240,6,9.456,11.584,33.931,96.398,3006616,30787.74784,307,100.28582358306188
TC11,10000,Secure,10240,6,13.101,15.96,33.953,94.473,3060707,31341.63968,519,60.388515761079
TC11,10000,Non-Secure,10240,7,8.3,10.004,20.463,61.082,3006496,30786.51904,307,100.28182097719869
TC11,10000,Secure,10240,7,13.085,15.892,31.069,93.704,3071584,31453.02016,522,60.25482789272031
TC11,10000,Non-Secure,10240,8,7.976,9.659,20.392,58.788,3006402,30785.55648,308,99.95310545454545
TC11,10000,Secure,10240,8,13.295,16.181,26.259,71.267,3056820,31301.836799999997,517,60.54513887814313
